SubjectID,HousingLoan,PersonalLoan,Two-wheelerLoan,AutoLoan,BusinessLoan,GoldLoan,Overdraft,PropertyLoan,LoanAgainstBankDeposits,LoantoProfessional,LoanAgainstSharesSecurities,AC,WM,REF,LED,MICROWAVE_OVEN,LCD,DIGITAL_CAMERA,Top Class,High-End Vehicles,Compact Cars,SUV,Small-Size Cars,DMS,TP,GNO,Company
7479,0,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11895,0,25000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19466,2500000,170000,0,24200,0,0,0,6317470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43195,0,82000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44583,0,50000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121598,0,300000,0,0,0,0,50000,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149041,0,96611,35000,29768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177854,926000,0,0,196000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208147,0,19000,30400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228001,0,400000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252412,0,960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254918,0,58912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309150,0,39556,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347415,0,0,40700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
